,album_score
Islands,706.9669999999999
Pawn Hearts (Deluxe),536.3889999999999
Thirteen Tales From Urban Bohemia,270.60099999999994
Giubbe Rosse (Deluxe 30th Anniversary Live & Remastered Edition / Remastered 2020),207.978
Godbluff,206.66299999999998
Universi paralleli di Franco Battiato,146.915
NEU!,124.312
Going for the One (Deluxe Edition),111.94899999999998
Califas del Rock,106.74199999999999
In The Wake Of Poseidon,100.01899999999999
Darwin (1991 Edition),94.235
Tales Of Future And Past,93.576
Discipline,74.219
Recuerdos De Mi Tierra (Remasterizado 2023),74.182
The Very Best Of Kajagoogoo,71.741
Live In Japan 2002,59.467
Archive #2 (1976 - 1992),58.717999999999996
El patio 40 Aniversario,54.3
L'enigma Della Vita,53.73
Air Conditioning,51.46
Drama (Deluxe Edition),49.044999999999995
Starless And Bible Black,46.97
Crac!,46.416
The Beatles (Remastered),46.023999999999994
The Raven That Refused to Sing (and Other Stories),44.638
"Platz der Republik, West-Berlin - August 1st 1987",43.81699999999999
Patriots (2008 Remastered Edition),42.842
Ummagumma,42.538
"H To He, Who Am The Only One (Deluxe)",41.199999999999996
The Box,38.741
Albedo 0.39,36.58
Transiberiana (Bonus Tracks Version),35.181999999999995
Close to the Edge (Super Deluxe Edition),34.311
6 6 6,33.224000000000004
Per Un Amico,33.174
The Pawn Hearts Sessions,31.566999999999993
Mondi Lontanissimi (2008 Remastered Edition),31.058
The Who Sell Out (Super Deluxe),29.946
The Kinks Are the Village Green Preservation Society,29.836999999999996
The Rolling Stones,29.719999999999995
The Dandy Warhols Come Down,29.598
Let It Bleed (50th Anniversary Edition / Remastered 2019),27.740999999999996
Serendipity,27.605999999999998
Aoxomoxoa (2013 Remaster),27.274
Mirage,27.110999999999997
Violator (Deluxe),26.677
Toy Planet - 1981,26.58
Singles 1963-1965,25.871999999999996
Larks' Tongues In Aspic (Expanded & Remastered Original Album Mix),25.801000000000002
Come in un'ultima cena,25.435
I Dreamed of Electric Sheep,24.537
Storie Invisibili,23.639999999999997
Cosmo's Factory (Expanded Edition),22.721999999999998
Uomo Di Pezza,22.686999999999998
Storia Di Un Minuto,21.945999999999998
Just Another Band From East L.A.: A Collection,21.108999999999998
When The Eagle Flies,20.215
The Condensed 21st Century Guide To King Crimson (1969 - 2003),20.023
Arthur or the Decline and Fall of the British Empire (Deluxe),19.654
"Live at Rockpalast (Live, 2005 Leverkusen)",19.511000000000003
Pronounced' Leh-'Nerd 'Skin-'Nerd,18.688
The Snow Goose (2023 Remastered & Expanded Edition),18.415
Selling England by the Pound (2007 Stereo Mix),18.262999999999998
Back At The Chicken Shack,17.793999999999997
Then Play On (2013 Remaster; Expanded Edition),17.785999999999998
Live Albums Collection,17.432
Houses of the Holy (Remaster),16.908
The Cat I Saw Yesterday,16.837
"Music For People, Birds, Butterflies & Mosquitoes (Remastered)",16.171999999999997
Darwin!,15.658999999999999
L'assalto dei lupi,15.597999999999999
Cats Under the Stars (Expanded),15.530999999999999
A Funky Thide Of Sings,15.198
Joe Patti's Experimental Group,14.931999999999999
The Steven Wilson Remixes,14.863999999999999
La Voce Del Padrone (Remastered 2021),14.823999999999998
Live At Wembley Arena 2010,14.817999999999998
La Pulce D'Acqua,14.785999999999998
John Barleycorn Must Die Deluxe Edition,14.62
Stati Di Immaginazione,14.511999999999999
Slow Train Coming,14.508999999999999
America,14.226999999999999
Moving Waves,14.07
Tormato (Deluxe Edition),13.936
Andy Nogger,13.797
Earth to the Dandy Warhols,13.673
Out Of Our Heads,13.604999999999999
Second Album,13.593
Fear of Music (Deluxe Version),13.470999999999998
S.F. Sorrow,13.470999999999998
The Cat,13.338000000000001
The Event - Live in Lugano,13.323
El Folklore Y La Pasión,13.168999999999997
Yellow Submarine (Remastered),13.113999999999999
Yessingles,13.068000000000001
Abbey Road (Remastered),12.697
Pet Sounds,12.427999999999999
Lizard,12.102
