,album_score
Islands,903.17
Pawn Hearts (Deluxe),582.88
Thirteen Tales From Urban Bohemia,328.51
Universi paralleli di Franco Battiato,173.24
Godbluff,138.19
NEU!,136.81
In The Wake Of Poseidon,108.23
Tales Of Future And Past,101.88
Darwin (1991 Edition),94.4
The Very Best Of Kajagoogoo,87.65
Discipline,84.2
Live In Japan 2002,74.98
Giubbe Rosse (Deluxe 30th Anniversary Live & Remastered Edition / Remastered 2020),70.86
Archive #2 (1976 - 1992),70.22
Air Conditioning,60.64
L'enigma Della Vita,57.12
The Beatles (Remastered),56.5
Starless And Bible Black,56.09
"Platz der Republik, West-Berlin - August 1st 1987",54.95
El patio 40 Aniversario,54.66
Drama (Deluxe Edition),54.58
Crac!,52.98
Ummagumma,52.24
Patriots (2008 Remastered Edition),51.47
"H To He, Who Am The Only One (Deluxe)",43.39
Albedo 0.39,41.38
Califas del Rock,40.73
Transiberiana (Bonus Tracks Version),40.69
Mondi Lontanissimi (2008 Remastered Edition),38.27
6 6 6,38.09
Close to the Edge (Super Deluxe Edition),37.5
The Kinks Are the Village Green Preservation Society,37.46
Per Un Amico,37.02
Going for the One (Deluxe Edition),35.67
The Who Sell Out (Super Deluxe),35.52
Let It Bleed (50th Anniversary Edition / Remastered 2019),34.23
Serendipity,34.14
Toy Planet - 1981,33.48
Aoxomoxoa (2013 Remaster),33.34
The Rolling Stones,33.09
Singles 1963-1965,33.0
The Dandy Warhols Come Down,32.25
Mirage,31.17
The Box,30.02
I Dreamed of Electric Sheep,29.7
Storie Invisibili,29.13
Cosmo's Factory (Expanded Edition),28.5
Violator (Deluxe),28.27
Come in un'ultima cena,27.61
Larks' Tongues In Aspic (Expanded & Remastered Original Album Mix),24.76
Arthur or the Decline and Fall of the British Empire (Deluxe),23.5
Just Another Band From East L.A.: A Collection,23.23
The Condensed 21st Century Guide To King Crimson (1969 - 2003),22.3
The Snow Goose (2023 Remastered & Expanded Edition),21.28
Recuerdos De Mi Tierra (Remasterizado 2023),21.22
Then Play On (2013 Remaster; Expanded Edition),20.96
"Music For People, Birds, Butterflies & Mosquitoes (Remastered)",19.82
When The Eagle Flies,19.42
Pronounced' Leh-'Nerd 'Skin-'Nerd,18.88
Back At The Chicken Shack,18.52
The Raven That Refused to Sing (and Other Stories),18.5
Live Albums Collection,18.38
Uomo Di Pezza,18.32
Houses of the Holy (Remaster),18.12
The Cat I Saw Yesterday,18.1
Storia Di Un Minuto,17.72
Darwin!,17.54
L'assalto dei lupi,17.5
Cats Under the Stars (Expanded),17.46
A Funky Thide Of Sings,17.28
Joe Patti's Experimental Group,17.14
Live At Wembley Arena 2010,17.08
La Voce Del Padrone (Remastered 2021),17.08
La Pulce D'Acqua,17.06
John Barleycorn Must Die Deluxe Edition,16.96
Slow Train Coming,16.9
Stati Di Immaginazione,16.9
Selling England by the Pound (2007 Stereo Mix),16.79
America,16.72
Moving Waves,16.62
Tormato (Deluxe Edition),16.54
Andy Nogger,16.44
Out Of Our Heads,16.32
Second Album,16.32
S.F. Sorrow,16.24
Fear of Music (Deluxe Version),16.24
The Cat,16.14
El Folklore Y La Pasión,16.04
Yellow Submarine (Remastered),16.0
Yessingles,15.96
Abbey Road (Remastered),15.7
Pet Sounds,15.5
The Steven Wilson Remixes,15.14
The Yellow Shark,14.98
Revolver (Remastered),14.84
Earth to the Dandy Warhols,14.57
Stonedhenge,13.24
