artist,artist_id,artist_score,art_all_tracks,art_unique_tracks,art_unique_days,sum_dur_min,top_day,streak
Talking Heads,2x9SpqnPi8rlE9pjHBwmSC,637.02,99,73,18,455.23,2026-08-14,6
New Order,0yNLKJebCb8Aueb54LYya3,576.21,82,53,21,429.43,2026-08-03,6
The Human League,1aX2dmV8XoHYCOQRxjPESG,554.77,79,44,18,428.81,2026-08-08,5
Franco Battiato,4lianjyuR1tqf6oUX8kjrZ,435.24,71,55,10,273.03,2026-08-12,2
Ultravox,3iUjRVvYCsMfz7tuAQtBDI,391.41,58,29,14,275.81,2026-08-05,4
Depeche Mode,762310PdDnwsDxAQxzQkfX,246.26,31,30,7,143.86,2026-08-25,3
King Crimson,7M1FPw29m5FbicYzS2xdpi,240.46,30,26,8,143.52,2026-08-20,2
The Beatles,3WrFJ7ztbogyGnTHbHJFl2,238.87,37,37,4,122.38,2026-08-05,2
Frank Zappa,6ra4GIOgCZQZMOaUECftGN,234.56,28,28,5,140.82,2026-08-09,2
Premiata Forneria Marconi,1MD5pgVzlusqGyuSTcTxvu,214.01,24,24,5,129.1,2026-08-11,2
Jasper van't Hofs Pili Pili,5SzgUF6HG0rix7dOgVzAFF,204.1,19,16,4,138.63,2026-08-08,3
Joy Division,432R46LaYsJZV2Gmc4jUV5,181.8,23,22,5,98.82000000000001,2026-08-11,2
Jerry Harrison,1GkiKu2FJFSBrXSL8wKFzy,167.1,21,12,9,94.97,2026-08-08,3
Yes,7AC976RDJzL2asmZuz7qil,140.65,10,10,3,91.41,2026-08-21,2
XTC,2qT62DYO8Ajb276vUJmvhz,134.47,16,15,5,68.72,2026-08-16,2
The Sound,4hzCcF4Leos2sKnz79nwhz,113.49,13,12,3,58.7,2026-08-02,2
The Tubes,7zfhej6FnVXN9LIXs6dcoK,110.69,14,14,2,53.76,2026-08-07,2
The Police,5NGO30tJxFlKixkPSgXcFE,108.0,15,13,3,50.37,2026-08-06,2
Kajagoogoo,0f3kLT4wvi2mFHlHJgV8Hl,103.18,10,5,8,54.67,2026-08-21,2
PJ Harvey,12VaqyEhgwDRuFfEqbnrpz,102.59,13,13,2,48.63,2026-08-01,1
