track,track_id,artist,artist_id,album_id,album_name,track_score,plays,track_unique_days,dur_min,squared,flag2,dg
Don't You Want Me - Extended Dance Mix / Remastered 2021,4ZFeCnlyMwzhjuNhKHlmQD,The Human League,1aX2dmV8XoHYCOQRxjPESG,38dDUvG4WftuwpWB4RJaLY,Dare: Singles & Remixes,29.885061498016324,8,7,7.55,0.3176266010705214,1,1
Everythings Gone Green,1VZFmtsZuuqm0EV6KQihE8,New Order,0yNLKJebCb8Aueb54LYya3,6iHuSGy6pq4tNGFV3ZVPtl,Substance,23.530216197462444,6,6,5.51,0.16013513102246615,1,1
Lode All'Inviolato - 2008 Remaster,5prIsUvI0KGSrz2oNX1UGp,Franco Battiato,4lianjyuR1tqf6oUX8kjrZ,3tZmzx3Og386HMV4vp4Dli,Caffé De La Paix (2008 Remastered Edition),22.799999999999997,6,6,3.89,0.0,1,1
Reap the Wild Wind - 2009 Remaster,2iOSFP5zgP7uX54oUAnPG7,Ultravox,3iUjRVvYCsMfz7tuAQtBDI,48e5bZFgvlWlVN8KVdaNON,Quartet (2009 Remaster),22.799999999999997,6,6,3.82,0.0,1,0
Passing Strangers - 2008 Remaster,3caRFTnvIzPw6wlbwsZt2x,Ultravox,3iUjRVvYCsMfz7tuAQtBDI,57UuXCYkx1wZW7gfl8hvjB,Vienna (Remastered Definitive Edition),22.799999999999997,6,6,3.85,0.0,0,0
Reap the Wild Wind - 2009 Remaster,6NeW5t7zeApR7H0QfHyUZu,Ultravox,3iUjRVvYCsMfz7tuAQtBDI,2QDolqCMmtvKMT3EEQKFAv,The Very Best of Ultravox,22.799999999999997,6,6,3.82,0.0,0,0
Blue Monday,6hHc7Pks7wtBIW8Z6A0iFq,New Order,0yNLKJebCb8Aueb54LYya3,6iHuSGy6pq4tNGFV3ZVPtl,Substance,20.19182142917755,5,5,7.49,0.3136372182046187,1,1
Astradyne - 2008 Remaster,4kce4Pp3zYbzeuq30MPvpr,Ultravox,3iUjRVvYCsMfz7tuAQtBDI,57UuXCYkx1wZW7gfl8hvjB,Vienna (Remastered Definitive Edition),20.103554191613448,5,5,7.15,0.2904089977930128,1,1
Bizarre Love Triangle - Extended Dance Mix,7FJMRaPU32nqAHK3jMPkyQ,New Order,0yNLKJebCb8Aueb54LYya3,6iHuSGy6pq4tNGFV3ZVPtl,Substance,19.99135457122822,5,5,6.74,0.2608827819021625,1,1
The Lion's Mouth - Beast Mix,6RtyDR21q21OXaoKXoAsJK,Kajagoogoo,0f3kLT4wvi2mFHlHJgV8Hl,0xM84XzqFGTDsFjPgCrXh9,Islands,19.656186249673073,5,5,5.65,0.17268059201922953,1,1
Listening Wind - 2005 Remaster,438kAOxGJQtpEkVMom9WXJ,Talking Heads,2x9SpqnPi8rlE9pjHBwmSC,3AQgdwMNCiN7awXch5fAaG,Remain in Light (Deluxe Version),19.314477433107392,5,5,4.72,0.0827572192387866,1,1
Slink,15RZjKzG8HbbS9arAq9YvK,Jerry Harrison,1GkiKu2FJFSBrXSL8wKFzy,2lm0ytMRpYQPcv11JFASDl,The Red And The Black,19.168090431176452,5,5,4.37,0.04423432399380402,1,1
Pili Pili,5o63XXSCnte2qrXQfaFqLn,Jasper van't Hofs Pili Pili,5SzgUF6HG0rix7dOgVzAFF,7uMOq45PDzQUNKVfmxjvtg,Post Scriptum,17.28226454044144,4,4,15.74,0.6849554409346833,1,1
Things Fall Apart,6fCRWk36SFKSuxlepKpsgY,Jerry Harrison,1GkiKu2FJFSBrXSL8wKFzy,2lm0ytMRpYQPcv11JFASDl,The Red And The Black,17.08926678321952,5,4,5.05,0.11654694108368892,1,1
Hard Times / Love Action - B-Side Instrumental / Remastered 2021,5OtCnDafWFGmHIW6LEX38f,The Human League,1aX2dmV8XoHYCOQRxjPESG,38dDUvG4WftuwpWB4RJaLY,Dare: Singles & Remixes,16.754125410107868,4,4,11.12,0.5112254638512728,1,1
The Sound Of The Crowd - Extended / Remastered 2021,06BiZXstMGADTs649izouN,The Human League,1aX2dmV8XoHYCOQRxjPESG,38dDUvG4WftuwpWB4RJaLY,Dare: Singles & Remixes,15.930940256037236,4,4,6.47,0.24044087369645925,0,0
The Great Curve - 2005 Remaster,35ljOibZSLEjOEPGrbaJsH,Talking Heads,2x9SpqnPi8rlE9pjHBwmSC,3AQgdwMNCiN7awXch5fAaG,Remain in Light (Deluxe Version),15.92858913414542,4,4,6.46,0.23966747833730992,1,1
The Thin Wall - 2008 Remaster,4r2whEL3h1ZA7rQJikSksw,Ultravox,3iUjRVvYCsMfz7tuAQtBDI,5ueP8JeD2SeNSYzX7ybnPc,Rage in Eden,15.738341156855332,4,4,5.7,0.17708590686030692,1,1
Sax and Violins,08Yjr6SQehUAK2GIcNdFbK,Talking Heads,2x9SpqnPi8rlE9pjHBwmSC,4ksJGDgtixAqJ390XWv0Ua,Popular Favorites 1976 - 1992 / Sand in the Vaseline,15.627746938346043,4,4,5.3,0.1407062297190927,1,1
Lament - Single Version,76bQ9pdTmSkw8tOEKo8VSE,Ultravox,3iUjRVvYCsMfz7tuAQtBDI,2QDolqCMmtvKMT3EEQKFAv,The Very Best of Ultravox,15.313458185353563,4,4,4.31,0.03732177149788282,1,1
