track,count,unique_days,dura,score
Big Apple,6,5,0.41591,18.25
Man-Erg - Remastered 2021,9,6,1.0330000000000001,18.1
The Lion's Mouth,12,5,0.36031,18.08
A Plague Of Lighthouse Keepers - Remastered 2021,5,5,2.3069333333333333,16.92
Lemmings (Including Cog) - Remastered 2021,6,5,1.1608666666666667,14.48
L'Evoluzione,5,4,1.6773333333333333,14.03
Starship Trooper/ Wurm,6,3,1.2366000000000001,12.71
Hallogallo,5,3,1.0123766666666667,11.04
Big Apple - Metro Mix,6,3,0.6098,10.83
The Sheltering Sky,4,4,0.8374666666666667,10.51
The Power to Forgive,4,4,0.47673333333333334,9.43
Bandiera Bianca,5,3,0.4030433333333334,9.21
Bohemian Like You,5,3,0.3528433333333334,9.06
Several Species of Small Furry Animals Gathered Together in a Cave and Grooving with a Pict,4,3,0.49737666666666663,8.49
Monochromatic - Live,5,2,0.41711000000000004,8.25
La Mela Di Odessa,4,2,0.6641116666666668,7.99
Pigeons,4,3,0.3228883333333334,7.97
Tiergarten,4,3,0.31755500000000003,7.95
The Garden - Instrumental,5,2,0.28562166666666666,7.86
The Pump Rooms of Bath,5,2,0.25491,7.76
