track_id,album_id,artist_id,track,artist,album_name,played_at,duration_ms,plays,dt,unique_days_score,track_score,artist_score,album_score,section,month
7zacyKvVMUsjbtvMiJPWlw,0xM84XzqFGTDsFjPgCrXh9,0f3kLT4wvi2mFHlHJgV8Hl,The Lion's Mouth,Kajagoogoo,Islands,2026-05-06T23:41:36,216186,12,2026-05-06,9.0,26.69,1090.08,706.9669999999999,1,5
3nhQ0t5o70uHAzEgYDedX2,1GOUMwPQw5xCizmD1Ixala,02frazNrWgZCxUEf4UTfHt,Man-Erg - Remastered 2021,Van Der Graaf Generator,Pawn Hearts (Deluxe),2026-05-03T05:56:07,619800,9,2026-05-03,9.0,24.81,1113.7,536.3889999999999,1,5
5OJCbL1RVFYSw07C9e0QUS,1GOUMwPQw5xCizmD1Ixala,02frazNrWgZCxUEf4UTfHt,Lemmings (Including Cog) - Remastered 2021,Van Der Graaf Generator,Pawn Hearts (Deluxe),2026-05-06T16:20:29,696520,6,2026-05-06,7.5,19.89,1113.7,536.3889999999999,1,5
12BSffsg97h51TlEcwXKTr,1GOUMwPQw5xCizmD1Ixala,02frazNrWgZCxUEf4UTfHt,A Plague Of Lighthouse Keepers - Remastered 2021,Van Der Graaf Generator,Pawn Hearts (Deluxe),2026-05-03T20:21:48,1384160,5,2026-05-03,7.5,19.64,1113.7,536.3889999999999,1,5
5GdmKwHrXRfGT40ZGs0W5R,0xM84XzqFGTDsFjPgCrXh9,0f3kLT4wvi2mFHlHJgV8Hl,Big Apple,Kajagoogoo,Islands,2026-05-07T08:53:09,249546,6,2026-05-07,7.5,18.39,1090.08,706.9669999999999,1,5
0lUBWPZWiGQEKNzayTCpxT,4RD4REp6RE2kVZ96Uf1TgB,4lianjyuR1tqf6oUX8kjrZ,Sequenze E Frequenze - Live 1988 / Remastered 2020,Franco Battiato,Giubbe Rosse (Deluxe 30th Anniversary Live & Remastered Edition / Remastered 2020),2026-05-04T04:49:11,425120,5,2026-05-04,7.5,17.9,810.5,207.978,1,5
6rbLGESJIt0IdCWcrXtrFK,1Apj3GZ0D7l94CFA5qInjr,4RuYtHjAKBufQRqBUMiOfK,L'Evoluzione,Banco Del Mutuo Soccorso,Darwin (1991 Edition),2026-05-03T05:39:41,1006400,5,2026-05-03,6.0,17.66,320.74,94.235,1,5
5Rzt1zCXx81n5CH8d4CXQo,18QlJWuxHQ1IGQ52qf8T1m,0f3kLT4wvi2mFHlHJgV8Hl,Big Apple - Metro Mix,Kajagoogoo,The Very Best Of Kajagoogoo,2026-05-07T15:59:32,365880,6,2026-05-07,6.0,17.45,1090.08,71.741,1,5
54VkF8s3BevKAX0JSwuf0O,30OBaYcCeQ71rdVWSpbTgC,7B9i94mmRUGH35kAyuUEDD,Starship Trooper/ Wurm,"Anderson, Squire, Howe",Tales Of Future And Past,2026-05-02T12:27:53,741960,6,2026-05-02,4.5,16.98,119.88,93.576,1,5
5qmlexKxaI31MvFhObUCZm,68W3ppXWhsOLOURmxzRkyA,7M1FPw29m5FbicYzS2xdpi,The Devils Triangle,King Crimson,In The Wake Of Poseidon,2026-05-09T19:35:11,697023,4,2026-05-09,6.0,15.79,416.6,100.019,1,5
5DJjwPtvPNARWVyzIdFnef,4irlewoGTUPndEinKcavLF,02frazNrWgZCxUEf4UTfHt,Scorched Earth - 2005 Digital Remaster,Van Der Graaf Generator,Godbluff,2026-05-12T20:28:09,583080,4,2026-05-12,6.0,15.54,1113.7,206.663,1,5
6eUnY12Nd9TVWlbBnFQRCw,6wI2sLcBmYzYQd9LFfkbhy,2CqEOngQOOMstJupNn6Hmf,Hallogallo,NEU!,NEU!,2026-05-03T10:35:26,607426,5,2026-05-03,4.5,15.41,193.81,124.312,1,5
47sJPdCkjVfLJWBFhwJiuE,20dTbQRkxuOTkf3SFyaT2m,7M1FPw29m5FbicYzS2xdpi,The Sheltering Sky,King Crimson,Discipline,2026-05-05T05:54:01,502480,4,2026-05-05,6.0,15.31,416.6,74.219,1,5
26oHuX40kl6CbJOE2fYzp2,5KlxVQrxfXom4ttbE6trkc,3UtSTTCQ0EMUQxmsfZ3Px1,Vivaldi,Curved Air,Air Conditioning,2026-05-03T00:45:57,450560,4,2026-05-03,6.0,15.16,107.96,51.46,1,5
73RVbX3YhvDYTSyrzKguSi,2U4JHXMiBxsKH4dnYEQg2g,7AC976RDJzL2asmZuz7qil,Parallels - 2003 Remaster,Yes,Going for the One (Deluxe Edition),2026-05-01T21:58:27,353906,4,2026-05-01,6.0,14.8,365.62,111.94899999999998,1,5
0kWweQWE8HIYlOUsIcvthl,0xM84XzqFGTDsFjPgCrXh9,0f3kLT4wvi2mFHlHJgV8Hl,The Power to Forgive,Kajagoogoo,Islands,2026-05-05T20:18:01,286040,4,2026-05-05,6.0,14.5,1090.08,706.9669999999999,1,5
3aPHB4pU4fPbPqcoSng1K0,4RD4REp6RE2kVZ96Uf1TgB,4lianjyuR1tqf6oUX8kjrZ,No U Turn - Live 1988 / Remastered 2020,Franco Battiato,Giubbe Rosse (Deluxe 30th Anniversary Live & Remastered Edition / Remastered 2020),2026-05-12T19:51:39,264133,4,2026-05-12,6.0,14.38,810.5,207.978,1,5
3aPHB4pU4fPbPqcoSng1K0,4RD4REp6RE2kVZ96Uf1TgB,4lianjyuR1tqf6oUX8kjrZ,No U Turn - Live 1988 / Remastered 2020,Franco Battiato,Giubbe Rosse (Deluxe 30th Anniversary Live & Remastered Edition / Remastered 2020),2026-05-10T05:59:16,264133,4,2026-05-10,6.0,14.38,810.5,207.978,1,5
6yhGgwT0IxUt5yG19GDKn0,4tPuH2J8xL4JU91QFTWDUJ,0sihhSAp2JQBQ2oqapkVxV,In Principio,Logos,L'enigma Della Vita,2026-05-03T06:31:09,687373,4,2026-05-03,4.5,14.28,75.12,53.73,1,5
6yhGgwT0IxUt5yG19GDKn0,4tPuH2J8xL4JU91QFTWDUJ,0sihhSAp2JQBQ2oqapkVxV,In Principio,Logos,L'enigma Della Vita,2026-05-03T19:12:30,687373,4,2026-05-03,4.5,14.28,75.12,53.73,1,5
4d9ad5C4oDbP2MQpOsgsks,3Ki82G9PYYeZZuT9apAFn0,02frazNrWgZCxUEf4UTfHt,"The Undercover Man - Live, 2005 Leverkusen",Van Der Graaf Generator,"Live at Rockpalast (Live, 2005 Leverkusen)",2026-05-12T07:56:11,427640,1,2026-05-12,1.5,5.65,1113.7,19.511000000000003,2,5
