group,variable,value,daily_score,n_tracks,n_utracks,daily_dur
Van Der Graaf Generator,1,0,0,0,0,0
Franco Battiato,1,1,18,2,2,8.07
Yes,1,4,46,5,5,29.08
Kajagoogoo,1,0,0,0,0,0
King Crimson,1,3,32,3,3,30.25
New Order,1,0,0,0,0,0
Premiata Forneria Marconi,1,3,36,4,4,20.28
Depeche Mode,1,0,0,0,0,0
Banco Del Mutuo Soccorso,1,5,56,6,6,44.77
The Dandy Warhols,1,0,0,0,0,0
Van Der Graaf Generator,2,1,11,1,1,8.3
Franco Battiato,2,4,44,5,5,23.8
Yes,2,3,30,3,3,21.43
Kajagoogoo,2,0,0,0,0,0
King Crimson,2,4,45,5,5,26.53
New Order,2,0,0,0,0,0
Premiata Forneria Marconi,2,3,36,4,4,20.69
Depeche Mode,2,0,0,0,0,0
Banco Del Mutuo Soccorso,2,0,0,0,0,0
The Dandy Warhols,2,0,0,0,0,0
Van Der Graaf Generator,3,7,76,8,7,91.82
Franco Battiato,3,2,29,3,3,18.67
Yes,3,3,38,4,4,25.92
Kajagoogoo,3,0,0,0,0,0
King Crimson,3,3,38,4,4,26.98
New Order,3,0,0,0,0,0
Premiata Forneria Marconi,3,4,41,5,4,26.62
Depeche Mode,3,0,0,0,0,0
Banco Del Mutuo Soccorso,3,3,30,3,2,39.79
The Dandy Warhols,3,0,0,0,0,0
Van Der Graaf Generator,4,6,65,7,6,73.82
Franco Battiato,4,2,27,3,3,13.95
Yes,4,1,19,2,2,9.06
Kajagoogoo,4,0,0,0,0,0
King Crimson,4,2,20,2,2,12.46
New Order,4,1,19,2,2,10.11
Premiata Forneria Marconi,4,1,14,2,1,8.06
Depeche Mode,4,7,77,9,9,42.22
Banco Del Mutuo Soccorso,4,2,23,2,2,23.02
The Dandy Warhols,4,0,0,0,0,0
Van Der Graaf Generator,5,7,71,8,6,88.41
Franco Battiato,5,4,43,5,5,18.4
Yes,5,1,18,2,2,7.92
Kajagoogoo,5,8,84,11,9,49.9
King Crimson,5,3,33,3,3,36.39
New Order,5,0,0,0,0,0
Premiata Forneria Marconi,5,3,31,4,3,17.72
Depeche Mode,5,0,0,0,0,0
Banco Del Mutuo Soccorso,5,3,31,3,3,27.28
The Dandy Warhols,5,0,0,0,0,0
Van Der Graaf Generator,6,5,59,6,5,77.86
Franco Battiato,6,6,67,8,8,31.68
Yes,6,0,0,0,0,0
Kajagoogoo,6,8,122,17,13,69.24
King Crimson,6,2,27,3,3,13.47
New Order,6,0,0,0,0,0
Premiata Forneria Marconi,6,0,0,0,0,0
Depeche Mode,6,0,0,0,0,0
Banco Del Mutuo Soccorso,6,4,40,5,4,22.26
The Dandy Warhols,6,1,10,1,1,5.68
Van Der Graaf Generator,7,0,0,0,0,0
Franco Battiato,7,2,27,3,3,13.0
Yes,7,0,0,0,0,0
Kajagoogoo,7,8,171,28,15,109.91
King Crimson,7,1,11,1,1,7.32
New Order,7,0,0,0,0,0
Premiata Forneria Marconi,7,0,0,0,0,0
Depeche Mode,7,0,0,0,0,0
Banco Del Mutuo Soccorso,7,2,27,3,3,13.65
The Dandy Warhols,7,0,0,0,0,0
Van Der Graaf Generator,8,7,71,7,7,82.75
Franco Battiato,8,0,0,0,0,0
Yes,8,1,10,1,1,3.93
Kajagoogoo,8,0,9,1,1,3.6
King Crimson,8,1,10,1,1,4.03
New Order,8,1,11,1,1,7.49
Premiata Forneria Marconi,8,0,0,0,0,0
Depeche Mode,8,2,20,2,2,12.33
Banco Del Mutuo Soccorso,8,1,10,1,1,5.63
The Dandy Warhols,8,8,159,20,19,89.89
Van Der Graaf Generator,9,4,45,4,4,56.17
Franco Battiato,9,8,113,14,14,50.08
Yes,9,0,0,0,0,0
Kajagoogoo,9,2,27,3,3,13.86
King Crimson,9,6,69,8,8,41.12
New Order,9,0,0,0,0,0
Premiata Forneria Marconi,9,0,0,0,0,0
Depeche Mode,9,0,0,0,0,0
Banco Del Mutuo Soccorso,9,0,0,0,0,0
The Dandy Warhols,9,8,145,19,17,71.93
Van Der Graaf Generator,10,8,84,10,8,83.62
Franco Battiato,10,8,99,12,12,46.27
Yes,10,2,20,2,2,14.44
Kajagoogoo,10,0,0,0,0,0
King Crimson,10,3,31,3,3,26.43
New Order,10,0,0,0,0,0
Premiata Forneria Marconi,10,2,28,3,3,16.35
Depeche Mode,10,0,0,0,0,0
Banco Del Mutuo Soccorso,10,1,11,1,1,6.25
The Dandy Warhols,10,8,92,11,11,47.0
Van Der Graaf Generator,11,8,88,9,9,96.82
Franco Battiato,11,0,0,0,0,0
Yes,11,0,0,0,0,0
Kajagoogoo,11,7,76,9,9,39.61
King Crimson,11,0,0,0,0,0
New Order,11,0,0,0,0,0
Premiata Forneria Marconi,11,0,0,0,0,0
Depeche Mode,11,0,0,0,0,0
Banco Del Mutuo Soccorso,11,0,0,0,0,0
The Dandy Warhols,11,0,0,0,0,0
Van Der Graaf Generator,12,6,67,7,7,62.13
Franco Battiato,12,8,134,17,16,68.27
Yes,12,0,0,0,0,0
Kajagoogoo,12,0,0,0,0,0
King Crimson,12,0,0,0,0,0
New Order,12,0,0,0,0,0
