index,artist,tageszeiten,vormittags,nachmittags,abends,nachts
64,New Order,343.13/352.44/170.48/222.56,343.13,352.44,170.48,222.56
23,Franco Battiato,84.79/303.74/92.33/3.33,84.79,303.74,92.33,3.33
9,Yes,89.87/146.38/16.85/142.76,89.87,146.38,16.85,142.76
16,Ultravox,62.29/238.6/28.34/16.98,62.29,238.6,28.34,16.98
0,Kajagoogoo,100.6/32.63/130.77/28.85,100.6,32.63,130.77,28.85
26,Tangerine Dream,28.31/185.2/28.4/5.14,28.31,185.2,28.4,5.14
39,Angelo Branduardi,5.47/138.12/79.47/4.89,5.47,138.12,79.47,4.89
56,Van Der Graaf Generator,56.62/89.73/59.73/12.8,56.62,89.73,59.73,12.8
36,Dissidenten,38.39/101.53/31.79/0,38.39,101.53,31.79,0.0
51,Vangelis,0/51.53/100.38/0,0.0,51.53,100.38,0.0
