artist,track,track_short,track_score,track_id,album_id,artist_id,album_name,duration_ms,plays,track_unique_days,album_date,album_pic,dur_min,genres
Kajagoogoo,The Lion's Mouth,The Lion's Mouth,40.2,7zacyKvVMUsjbtvMiJPWlw,0xM84XzqFGTDsFjPgCrXh9,0f3kLT4wvi2mFHlHJgV8Hl,Islands,216186,14,8,1984,https://i.scdn.co/image/ab67616d00001e02a2fde6bbd3344d56986006fb,03:36,Synthpop/New Wave
Kajagoogoo,Big Apple,Big Apple,38.06,5GdmKwHrXRfGT40ZGs0W5R,0xM84XzqFGTDsFjPgCrXh9,0f3kLT4wvi2mFHlHJgV8Hl,Islands,249546,11,9,1984,https://i.scdn.co/image/ab67616d00001e02a2fde6bbd3344d56986006fb,04:09,Synthpop/New Wave
Kajagoogoo,Ooh to Be Ah - The Construction Mix,Ooh to Be Ah,36.21,4VyNxyzGEAjdGjIQ6rkuBV,1UQRYIgVBO9izI17mpoYOX,0f3kLT4wvi2mFHlHJgV8Hl,The Complete Albums,394994,9,9,2019-04-19,https://i.scdn.co/image/ab67616d00001e0256e8831ae0f27b51346919be,06:34,Synthpop/New Wave
Van Der Graaf Generator,Man-Erg - Remastered 2021,Man-Erg,34.84,3nhQ0t5o70uHAzEgYDedX2,1GOUMwPQw5xCizmD1Ixala,02frazNrWgZCxUEf4UTfHt,Pawn Hearts (Deluxe),619800,10,7,1971-10-05,https://i.scdn.co/image/ab67616d00001e02527ee3d75970c28541f81b50,10:19,Progressive Rock/Art Rock/Krautrock/Space Rock
Van Der Graaf Generator,A Plague Of Lighthouse Keepers - Remastered 2021,A Plague Of Lighthouse Keepers,32.35,12BSffsg97h51TlEcwXKTr,1GOUMwPQw5xCizmD1Ixala,02frazNrWgZCxUEf4UTfHt,Pawn Hearts (Deluxe),1384160,7,7,1971-10-05,https://i.scdn.co/image/ab67616d00001e02527ee3d75970c28541f81b50,23:04,Progressive Rock/Art Rock/Krautrock/Space Rock
Kajagoogoo,The Lion's Mouth - Beast Mix,The Lion's Mouth,31.83,0ubdE8DRtHu3XolVVspgtH,1UQRYIgVBO9izI17mpoYOX,0f3kLT4wvi2mFHlHJgV8Hl,The Complete Albums,339240,9,7,2019-04-19,https://i.scdn.co/image/ab67616d00001e0256e8831ae0f27b51346919be,05:39,Synthpop/New Wave
Franco Battiato,Sequenze E Frequenze - Live 1988 / Remastered 2020,Sequenze E Frequenze,30.9,0lUBWPZWiGQEKNzayTCpxT,4RD4REp6RE2kVZ96Uf1TgB,4lianjyuR1tqf6oUX8kjrZ,Giubbe Rosse (Deluxe 30th Anniversary Live & Remastered Edition / Remastered 2020),425120,8,7,1989,https://i.scdn.co/image/ab67616d00001e02554a20c25a51b6d57c2d489d,07:05,Italian Singer-songwriter/Singer-songwriter
King Crimson,Thela Hun Ginjeet,Thela Hun Ginjeet,29.16,04c3ZTgTH5ci7LuNSx7Wje,20dTbQRkxuOTkf3SFyaT2m,7M1FPw29m5FbicYzS2xdpi,Discipline,386520,7,7,1981-09-22,https://i.scdn.co/image/ab67616d00001e02ff2d2448a42a43c281b6f556,06:26,Progressive Rock/Art Rock/Psychedelic Rock
Yes,Parallels - 2003 Remaster,Parallels,28.94,73RVbX3YhvDYTSyrzKguSi,2U4JHXMiBxsKH4dnYEQg2g,7AC976RDJzL2asmZuz7qil,Going for the One (Deluxe Edition),353906,7,7,1977,https://i.scdn.co/image/ab67616d00001e02fff6321a79c0ba5e4e7f5125,05:53,Progressive Rock/Art Rock/Aor
Kajagoogoo,Lies & Promises,Lies & Promises,28.66,5NP4VlF2gfo3IiqAJmrfDX,1UQRYIgVBO9izI17mpoYOX,0f3kLT4wvi2mFHlHJgV8Hl,The Complete Albums,174080,8,7,2019-04-19,https://i.scdn.co/image/ab67616d00001e0256e8831ae0f27b51346919be,02:54,Synthpop/New Wave
Van Der Graaf Generator,Lemmings (Including Cog) - Remastered 2021,Lemmings (Including Cog),28.63,5OJCbL1RVFYSw07C9e0QUS,1GOUMwPQw5xCizmD1Ixala,02frazNrWgZCxUEf4UTfHt,Pawn Hearts (Deluxe),696520,7,6,1971-10-05,https://i.scdn.co/image/ab67616d00001e02527ee3d75970c28541f81b50,11:36,Progressive Rock/Art Rock/Krautrock/Space Rock
