artist,track,album,plays
New Order,Blue Monday,Substance,16
Kajagoogoo,The Lion's Mouth,Islands,16
Franco Battiato,Lode All'Inviolato - 2008 Remaster,Caffé De La Paix (2008 Remastered Edition),16
Kajagoogoo,The Lion's Mouth - Beast Mix,Islands,16
Ultravox,White China - 2009 Remaster,Lament (2009 Remaster),11
Gary Numan,Are 'Friends' Electric?,Replicas Redux,10
New Order,"True Faith - Shep Pettibone 12"" Remix",Brotherhood (Collector's Edition),10
New Order,True Faith - 2015 Remaster,Singles (2016 Remaster),10
Franco Battiato,L'Oceano Di Silenzio - 2008 Remaster,Fisiognomica (2008 Remastered Edition),9
The Police,Canary In A Coalmine,Zenyatta Mondatta (Remastered 2003),8
Franco Battiato,E Ti Vengo A Cercare - Remastered 2008,Fisiognomica (2008 Remastered Edition),7
Franco Battiato,Nomadi - Remastered,Fisiognomica (2008 Remastered Edition),7
Van Der Graaf Generator,Killer - Remastered 2021,"H To He, Who Am The Only One (Deluxe)",7
Kajagoogoo,Big Apple - Metro Mix,Islands,7
Talking Heads,Animals - 2005 Remaster,Fear of Music (Deluxe Version),7
Ultravox,The Thin Wall - 2008 Remaster,Rage in Eden,7
Franco Battiato,Le aquile non volano a stormi,Universi paralleli di Franco Battiato,7
Kajagoogoo,Rivers,Crazy People's Right To Speak,7
Gary Numan,Cars,The Pleasure Principle,7
Franco Battiato,L'animale,Torneremo Ancora,6
New Order,Singularity,Music Complete,6
Kajagoogoo,Turn Your Back on Me - Extended Mix,Islands,6
King Crimson,Sartori in Tangier,Beat,6
Franco Battiato,Secondo Imbrunire - 2008 Remaster,Fisiognomica (2008 Remastered Edition),6
Franco Battiato,Fisiognomica - 2008 Remaster,Fisiognomica (2008 Remastered Edition),6
Depeche Mode,Waiting for the Night,Violator (Deluxe),5
New Order,Bizarre Love Triangle,Brotherhood (Collector's Edition),5
Talking Heads,Houses in Motion - 2005 Remaster,Remain in Light (Deluxe Version),5
New Order,True Faith,Substance,5
Franco Battiato,I Giorni Della Monotonia,Il Vuoto,5
Ultravox,The Voice,The Collection,5
Franco Battiato,Delenda Carthago - 2008 Remaster,Caffé De La Paix (2008 Remastered Edition),5
New Order,Paradise,Brotherhood (Collector's Edition),5
Franco Battiato,Risveglio Di Primavera - 2008 Remaster,Mondi Lontanissimi (2008 Remastered Edition),5
Franco Battiato,Veni L'Autunnu - 2008 Remaster,Fisiognomica (2008 Remastered Edition),5
New Order,Weirdo,Brotherhood (Collector's Edition),4
Premiata Forneria Marconi,Per un amico,Per Un Amico,4
New Order,"Thieves like Us - 12"" Extended",Substance,4
Banco Del Mutuo Soccorso,Moby Dick,Banco,4
Kajagoogoo,Turn Your Back on Me - Thompson & Barbiero US Mix,Islands,4
Franco Battiato,Sui Giardini Della Preesistenza - 2008 Remaster,Caffé De La Paix (2008 Remastered Edition),4
