track_id,album_id,artist_id,track,artist,album_name,played_at,album_date,album_pic,duration_ms,genres
73RVbX3YhvDYTSyrzKguSi,2U4JHXMiBxsKH4dnYEQg2g,7AC976RDJzL2asmZuz7qil,Parallels - 2003 Remaster,Yes,Going for the One (Deluxe Edition),2026-05-01T21:58:27,1977,https://i.scdn.co/image/ab67616d00001e02fff6321a79c0ba5e4e7f5125,353906,Progressive Rock/Art Rock/Aor
2cTfzU2iNMI9aZSPOL3mYx,6ELt0QaMOwPGPzfdEXE839,7M1FPw29m5FbicYzS2xdpi,Larks' Tongues In Aspic (Part I),King Crimson,Larks' Tongues In Aspic (Expanded & Remastered Original Album Mix),2026-05-01T21:50:30,1973-03-23,https://i.scdn.co/image/ab67616d00001e02aa9e5286056e17ff3d9b2881,815675,Progressive Rock/Art Rock/Psychedelic Rock
43IYZ1zQpbXXWhGQEgjAjb,7isYifHXAT7wbuxbJziBG3,2LIdnZDzySb04oH40be1fR,Who Knows Where The Time Goes?,Fairport Convention,Unhalfbricking,2026-05-01T21:32:42,1969-07,https://i.scdn.co/image/ab67616d00001e0272fe792040dbdcd31869763d,310173,Folk Rock/Folk/Traditional Folk
5qmlexKxaI31MvFhObUCZm,68W3ppXWhsOLOURmxzRkyA,7M1FPw29m5FbicYzS2xdpi,The Devils Triangle,King Crimson,In The Wake Of Poseidon,2026-05-01T21:27:27,1970-05-15,https://i.scdn.co/image/ab67616d00001e02df0ca9c1749f68f803f9f42b,697023,Progressive Rock/Art Rock/Psychedelic Rock
6yhGgwT0IxUt5yG19GDKn0,4tPuH2J8xL4JU91QFTWDUJ,0sihhSAp2JQBQ2oqapkVxV,In Principio,Logos,L'enigma Della Vita,2026-05-01T21:12:15,2014-04-25,https://i.scdn.co/image/ab67616d00001e024a068365405d564e386b556d,687373,Progressive Rock/Art Rock
4UhB17vQsTP0qM9grc4ZUi,6wDCNTOXnKI8E4WrsdeJH9,1CD77o9fbdyQFrHnUPUEsF,Empty Pages - Remastered 2010,Traffic,John Barleycorn Must Die Deluxe Edition,2026-05-01T21:09:30,1970-07-01,https://i.scdn.co/image/ab67616d00001e0242e2ef73391504cb40c95fd6,274680,Psychedelic Rock/Acid Rock/Classic Rock/Progressive Rock
4SoykGLnLQPgQUkrKQxNYq,5UI2X5VAmgu9xrlXDd5U7B,1PCZpxHJz7WAMF8EEq8bfc,Change Is Now - Single Version,The Byrds,The Notorious Byrd Brothers,2026-05-01T21:05:01,1968-01-15,https://i.scdn.co/image/ab67616d00001e023031db0d7e0e45cd40b0e07c,201266,Folk Rock/Country Rock/Psychedelic Rock/Acid Rock
1rw12PalmC8IDoygHT3fm1,1VHLlFuKZYLVhnLanVzJxF,0nCiidE5GgDrc5kWN3NZgZ,From the Beginning,"Emerson, Lake & Palmer",Trilogy,2026-05-01T20:55:01,1972-07-06,https://i.scdn.co/image/ab67616d00001e020134e07cf27d2cb5a1eaddcc,256333,Progressive Rock/Art Rock
4ZCK0R2BRtXxHH8Fb1vq2n,2WO6VIu5x3rMXWcMzH36jl,3Uz6jx81OY2J5K8Z4wmy2P,Never Let Go - Single Version / Remastered 2023,Camel,Camel (Expanded Edition),2026-05-01T20:48:30,2023-11-24,https://i.scdn.co/image/ab67616d00001e02572a2c8c8092c82b9dfd48fc,216733,Progressive Rock/Art Rock/Space Rock/Psychedelic Rock/Krautrock
4NAP1NmknfmMkKuDi4fhxI,1uXol4dKqzMsUiqvHpwhZh,7AC976RDJzL2asmZuz7qil,Siberian Khatru - 2025 Remaster,Yes,Close to the Edge (Super Deluxe Edition),2026-05-01T19:13:32,1972-09-08,https://i.scdn.co/image/ab67616d00001e02593f4d2b1bcf28ac44459ddf,537373,Progressive Rock/Art Rock/Aor
