artist,artist_score,tageszeiten
Kajagoogoo,2829.21,134.2/265.75/228.27/7.02
Van Der Graaf Generator,2792.66,174.35/463.56/352.1/34.65
Franco Battiato,2598.42,93.13/99.4/221.26/18.94
Yes,2440.51,140.07/401.84/144.55/64.55
King Crimson,1941.63,132.87/38.44/171.6/66.12
Premiata Forneria Marconi,1534.4,86.06/101.51/68.24/107.75
The Rolling Stones,1059.29,19.36/61.54/68.05/7.28
Banco Del Mutuo Soccorso,998.17,98.99/80.99/21.35/53.8
The Dandy Warhols,836.38,46.78/47.0/95.57/29.28
Depeche Mode,811.04,58.12/89.07/32.19/10.41
New Order,660.63,49.36/54.41/66.47/15.23
Mezquita,406.7,73.03/17.89/4.57/26.98
The Beatles,375.87,17.07/13.77/19.58/6.56
Genesis,324.77,0/47.13/31.19/11.24
NEU!,287.34,20.24/24.9/24.25/25.74
Kaja,253.45,24.84/32.13/8.86/0
Talking Heads,246.57,12.33/6.57/28.43/3.51
Grateful Dead,182.52,0/31.05/9.53/7.02
The Kinks,182.0,3.01/17.87/11.59/5.34
Triana,174.72,0/48.01/0/9.84
Steven Wilson,164.66,30.02/5.06/15.9/10.95
Gary Numan,164.15,3.55/49.55/0/0
Angelo Branduardi,114.37,7.24/11.38/12.7/0
John Coltrane,107.42,24.11/0/32.77/0
Camel,106.76,9.08/14.42/3.61/5.88
Traffic,106.46,16.61/13.74/4.58/4.58
Fleetwood Mac,97.07,5.93/3.5/9.34/0
DEVO,82.19,6.09/11.45/3.45/0
Tangerine Dream,76.33,0/28.46/3.18/3.18
Curved Air,75.64,18.64/0/3.62/22.53
Aphrodite's Child,73.12,15.98/5.89/0/5.89
Thelonious Monk,68.98,32.63/0/0/0
Pink Floyd,68.58,14.91/4.97/9.94/11.44
Pet Shop Boys,67.32,12.26/17.28/8.66/0
The Who,66.44,5.65/0/10.57/11.3
Le Orme,63.59,20.5/0/3.59/0
CAN,58.59,11.78/11.78/10.8/0
Led Zeppelin,56.81,0/29.2/0/0
Jimmy Smith,53.58,8.05/0/19.5/3.4
Talk Talk,52.13,0/5.59/5.04/11.26
La coscienza di Zeno,47.13,5.38/0/0/12.59
Area,46.19,6.64/11.18/0/13.28
Lucio Battisti,43.77,0/7.32/4.86/0
Focus,42.11,0/9.27/11.27/0
Vangelis,41.64,13.9/11.48/0/0
Los Lobos,38.73,3.51/0/0/12.64
Anouar Brahem,36.89,4.0/12.85/0/0
Creedence Clearwater Revival,36.23,3.08/3.08/6.03/0
"Anderson, Squire, Howe",35.18,24.74/12.37/12.37/24.74
Ozric Tentacles,34.57,0/0/28.44/0
