track_id,album_id,artist_id,track,artist,album_name,played_at,duration_ms,plays,dt,unique_days_score,track_score,artist_score,album_score
5OJCbL1RVFYSw07C9e0QUS,1GOUMwPQw5xCizmD1Ixala,02frazNrWgZCxUEf4UTfHt,Lemmings (Including Cog) - Remastered 2021,Van Der Graaf Generator,Pawn Hearts (Deluxe),2026-05-14T14:16:58,696520,7,2026-05-14,9.0,22.62,1286.92,674.564
4j3vWrRoMfZY0tQVdd2vTa,1gFxD1QvxsUkafEuIeJ0LW,02frazNrWgZCxUEf4UTfHt,W - Remastered 2021,Van Der Graaf Generator,The Pawn Hearts Sessions,2026-05-13T11:17:04,267302,1,2026-05-13,1.5,5.05,1286.92,31.566999999999993
3hXFX6le4RkzF8trx7xUM1,1gFxD1QvxsUkafEuIeJ0LW,02frazNrWgZCxUEf4UTfHt,Theme One - Remastered 2021,Van Der Graaf Generator,The Pawn Hearts Sessions,2026-05-13T11:12:36,176491,1,2026-05-13,1.5,4.55,1286.92,31.566999999999993
12BSffsg97h51TlEcwXKTr,1GOUMwPQw5xCizmD1Ixala,02frazNrWgZCxUEf4UTfHt,A Plague Of Lighthouse Keepers - Remastered 2021,Van Der Graaf Generator,Pawn Hearts (Deluxe),2026-05-13T15:59:27,1384160,7,2026-05-13,10.5,25.13,1286.92,674.564
12BSffsg97h51TlEcwXKTr,1GOUMwPQw5xCizmD1Ixala,02frazNrWgZCxUEf4UTfHt,A Plague Of Lighthouse Keepers - Remastered 2021,Van Der Graaf Generator,Pawn Hearts (Deluxe),2026-05-14T14:56:41,1384160,7,2026-05-14,10.5,25.13,1286.92,674.564
3nhQ0t5o70uHAzEgYDedX2,1GOUMwPQw5xCizmD1Ixala,02frazNrWgZCxUEf4UTfHt,Man-Erg - Remastered 2021,Van Der Graaf Generator,Pawn Hearts (Deluxe),2026-05-14T14:33:44,619800,10,2026-05-14,10.5,27.48,1286.92,674.564
1fuRnovowt52s2sVXmu9Wv,1gFxD1QvxsUkafEuIeJ0LW,02frazNrWgZCxUEf4UTfHt,Ponker's Theme - Remastered 2021,Van Der Graaf Generator,The Pawn Hearts Sessions,2026-05-13T11:43:34,86876,1,2026-05-13,1.5,3.85,1286.92,31.566999999999993
2nrZgdMUfhxfOBMaS5WgnP,3Ki82G9PYYeZZuT9apAFn0,02frazNrWgZCxUEf4UTfHt,"Every Bloody Emperor - Live, 2005 Leverkusen",Van Der Graaf Generator,"Live at Rockpalast (Live, 2005 Leverkusen)",2026-05-12T08:13:32,456173,1,2026-05-12,1.5,5.72,1286.92,19.511000000000003
27cpEDIohXSh71P2vVoMD3,3Ki82G9PYYeZZuT9apAFn0,02frazNrWgZCxUEf4UTfHt,"Scorched Earth - Live, 2005 Leverkusen",Van Der Graaf Generator,"Live at Rockpalast (Live, 2005 Leverkusen)",2026-05-12T08:05:41,579320,1,2026-05-12,1.5,6.05,1286.92,19.511000000000003
4d9ad5C4oDbP2MQpOsgsks,3Ki82G9PYYeZZuT9apAFn0,02frazNrWgZCxUEf4UTfHt,"The Undercover Man - Live, 2005 Leverkusen",Van Der Graaf Generator,"Live at Rockpalast (Live, 2005 Leverkusen)",2026-05-12T07:56:11,427640,1,2026-05-12,1.5,5.65,1286.92,19.511000000000003
0TMKja08JBRFwkdpl9IpI3,1n6mujGDmusUYHfuFtZZvJ,02frazNrWgZCxUEf4UTfHt,Killer - Remastered 2021,Van Der Graaf Generator,"H To He, Who Am The Only One (Deluxe)",2026-05-02T18:13:59,498040,3,2026-05-02,4.5,12.38,1286.92,41.199999999999996
4qVjaG8Z0Mh4yRUuEUknty,1gFxD1QvxsUkafEuIeJ0LW,02frazNrWgZCxUEf4UTfHt,Squid/Octopus - Remastered 2021,Van Der Graaf Generator,The Pawn Hearts Sessions,2026-05-13T11:32:34,924596,1,2026-05-13,1.5,6.7,1286.92,31.566999999999993
47FdK8tvNarSDnM9uMXhJx,1gFxD1QvxsUkafEuIeJ0LW,02frazNrWgZCxUEf4UTfHt,W - First Version / Remastered 2021,Van Der Graaf Generator,The Pawn Hearts Sessions,2026-05-13T11:37:34,301929,1,2026-05-13,1.5,5.2,1286.92,31.566999999999993
6rjVP61adR53qpIQ8A4B3J,1gFxD1QvxsUkafEuIeJ0LW,02frazNrWgZCxUEf4UTfHt,Angle Of Incidents - Remastered 2021,Van Der Graaf Generator,The Pawn Hearts Sessions,2026-05-13T11:42:04,287356,1,2026-05-13,1.5,5.14,1286.92,31.566999999999993
6udbKI96O98wT1Jsng6hVO,1GOUMwPQw5xCizmD1Ixala,02frazNrWgZCxUEf4UTfHt,Theme One - Sounds Of The 70s Session / 1971,Van Der Graaf Generator,Pawn Hearts (Deluxe),2026-05-10T05:48:20,176893,2,2026-05-10,1.5,6.39,1286.92,674.564
3nhQ0t5o70uHAzEgYDedX2,1GOUMwPQw5xCizmD1Ixala,02frazNrWgZCxUEf4UTfHt,Man-Erg - Remastered 2021,Van Der Graaf Generator,Pawn Hearts (Deluxe),2026-05-03T05:56:07,619800,10,2026-05-03,10.5,27.48,1286.92,674.564
5PtndrR1yYsj2BSoo89S6w,1GOUMwPQw5xCizmD1Ixala,02frazNrWgZCxUEf4UTfHt,Man-Erg - New Stereo Mix 2021,Van Der Graaf Generator,Pawn Hearts (Deluxe),2026-05-10T06:45:46,622533,4,2026-05-10,3.0,12.62,1286.92,674.564
0TMKja08JBRFwkdpl9IpI3,1n6mujGDmusUYHfuFtZZvJ,02frazNrWgZCxUEf4UTfHt,Killer - Remastered 2021,Van Der Graaf Generator,"H To He, Who Am The Only One (Deluxe)",2026-05-10T06:11:16,498040,3,2026-05-10,4.5,12.38,1286.92,41.199999999999996
12BSffsg97h51TlEcwXKTr,1GOUMwPQw5xCizmD1Ixala,02frazNrWgZCxUEf4UTfHt,A Plague Of Lighthouse Keepers - Remastered 2021,Van Der Graaf Generator,Pawn Hearts (Deluxe),2026-05-09T20:19:21,1384160,7,2026-05-09,10.5,25.13,1286.92,674.564
5zgBkwQc9EXSkFDilwKkfn,1GOUMwPQw5xCizmD1Ixala,02frazNrWgZCxUEf4UTfHt,ManErg - Sounds Of The 70s Session / 1971,Van Der Graaf Generator,Pawn Hearts (Deluxe),2026-05-09T20:34:54,669480,1,2026-05-09,1.5,6.25,1286.92,674.564
5OJCbL1RVFYSw07C9e0QUS,1GOUMwPQw5xCizmD1Ixala,02frazNrWgZCxUEf4UTfHt,Lemmings (Including Cog) - Remastered 2021,Van Der Graaf Generator,Pawn Hearts (Deluxe),2026-05-09T19:48:35,696520,7,2026-05-09,9.0,22.62,1286.92,674.564
