artist,track,track_score
Kajagoogoo,The Lion's Mouth,26.69
Van Der Graaf Generator,Man-Erg - Remastered 2021,24.81
Van Der Graaf Generator,Lemmings (Including Cog) - Remastered 2021,19.89
Van Der Graaf Generator,A Plague Of Lighthouse Keepers - Remastered 2021,19.64
Kajagoogoo,Big Apple,18.39
Franco Battiato,Sequenze E Frequenze - Live 1988 / Remastered 2020,17.9
Banco Del Mutuo Soccorso,L'Evoluzione,17.66
Kajagoogoo,Big Apple - Metro Mix,17.45
"Anderson, Squire, Howe",Starship Trooper/ Wurm,16.98
King Crimson,The Devils Triangle,15.79
Van Der Graaf Generator,Scorched Earth - 2005 Digital Remaster,15.54
Van Der Graaf Generator,Arrow - 2005 Digital Remaster,15.54
NEU!,Hallogallo,15.41
King Crimson,The Sheltering Sky,15.31
Van Der Graaf Generator,The Undercover Man - 2005 Digital Remaster,15.16
Curved Air,Vivaldi,15.16
Yes,Parallels - 2003 Remaster,14.8
Kajagoogoo,The Power to Forgive,14.5
Franco Battiato,No U Turn - Live 1988 / Remastered 2020,14.38
Logos,In Principio,14.28
Premiata Forneria Marconi,Bandiera Bianca,14.07
The Dandy Warhols,Bohemian Like You,13.89
Pink Floyd,Several Species of Small Furry Animals Gathered Together in a Cave and Grooving with a Pict,13.06
The Dandy Warhols,Cool Scene,12.79
Van Der Graaf Generator,The Sleepwalkers - 2005 Digital Remaster,12.75
Van Der Graaf Generator,Man-Erg - New Stereo Mix 2021,12.62
Kajagoogoo,Monochromatic - Live,12.62
Yes,Siberian Khatru - 2025 Remaster,12.5
Genesis,Pigeons,12.45
Tangerine Dream,Tiergarten,12.43
Yes,Into the Lens,12.42
Van Der Graaf Generator,Killer - Remastered 2021,12.38
Premiata Forneria Marconi,Geranio,12.34
Kajagoogoo,The Garden - Instrumental,12.09
Area,La Mela Di Odessa,11.98
Banco Del Mutuo Soccorso,La discesa dal treno,11.97
Kajagoogoo,The Pump Rooms of Bath,11.93
The Dandy Warhols,Sleep,11.91
Vangelis,Alpha,11.85
Kajagoogoo,The Lion's Mouth - Beast Mix,11.84
The Who,Rael - Pt.1 & Pt.2,11.84
The Kinks,Shangri-La (2019 Remaster),11.75
The Rolling Stones,Monkey Man - Remastered 2019,11.41
Franco Battiato,Le Aquile - Remastered 2008,11.41
King Crimson,Lament,11.38
Premiata Forneria Marconi,Nuvole Nere,11.38
Kajagoogoo,Turn Your Back on Me,11.36
The Dandy Warhols,Shakin',11.32
Franco Battiato,Apparenza e realtà,11.22
Franco Battiato,Ermeneutica,11.19
Mezquita,Cuentos Arabes,11.18
Irmin Schmidt,Two Dolphins Go Dancing,11.16
Franco Battiato,L'Animale - Remastered,11.1
The Rolling Stones,Walking The Dog,11.03
The Rolling Stones,Little Red Rooster - (Original Single Mono Version),11.0
The Kinks,Animal Farm,10.96
Van Der Graaf Generator,A Plague Of Lighthouse Keepers - New Stereo Mix 2021,10.79
Camel,Freefall,10.39
Premiata Forneria Marconi,Pecore Elettriche - Italian version,9.9
Van Der Graaf Generator,Lemmings (Including Cog) - New Stereo Mix 2021,9.79
Grateful Dead,China Cat Sunflower - 2013 Remaster,9.73
Banco Del Mutuo Soccorso,Il Mietitore,9.71
Traffic,Dream Gerrard,9.71
Triana,Abre la puerta,9.54
Creedence Clearwater Revival,Run Through The Jungle,9.5
Lynyrd Skynyrd,Free Bird,9.44
Jimmy Smith,Back At The Chicken Shack,9.26
Steven Wilson,The Raven That Refused to Sing,9.25
Mezquita,Recuerdos De Mi Tierra - Remasterizado,9.21
Grateful Dead,Bird Song,9.19
The Beatles,Everybody's Got Something To Hide Except Me And My Monkey - Remastered 2009,9.16
Le Orme,La Porta Chiusa,9.16
King Crimson,Larks' Tongues In Aspic (Part II),9.12
Led Zeppelin,No Quarter - Remaster,9.06
Mal Waldron,Cat Walk,9.05
